snapshot_date,platform,project_name,project_platform_id,item_id,item_name,version_label,mod_version,loader,game_versions,total_downloads,previous_total,daily_downloads,loader_group
2026-03-29,modrinth,hearthguard,hearthguard,30ZlRdYy,hearthguard-fabric-26.1-1.0.1.jar,26.1-1.0.1,1.0.1,fabric,26.1,23,16,7,fabric
2026-03-29,modrinth,hearthguard,hearthguard,fbe73rXR,hearthguard-neoforge-1.21.1-1.0.1.jar,1.21.1-1.0.1,1.0.1,neoforge,1.21.1,8,4,4,neoforge
2026-03-29,modrinth,hearthguard,hearthguard,dFWb9IFH,hearthguard-neoforge-1.21.11-1.0.0.jar,1.21.11-1.0.0,1.0.0,neoforge,1.21.11,5,5,0,neoforge
2026-03-29,modrinth,hearthguard,hearthguard,OQyeKKQM,hearthguard-neoforge-1.21.11-1.0.1.jar,1.21.11-1.0.1,1.0.1,neoforge,1.21.11,2,2,0,neoforge
2026-03-29,modrinth,hearthguard,hearthguard,ijlz9BpN,hearthguard-neoforge-26.1-1.0.1.jar,26.1-1.0.1,1.0.1,neoforge,26.1,9,6,3,neoforge
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.1-1.0.0 (Fabric),HearthGuard 1.21.1-1.0.0 (Fabric),HearthGuard 1.21.1-1.0.0 (Fabric),1.0.0,fabric,1.21.1,50,50,0,fabric
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.1-1.0.1 (Fabric),HearthGuard 1.21.1-1.0.1 (Fabric),HearthGuard 1.21.1-1.0.1 (Fabric),1.0.1,fabric,1.21.1,34,24,10,fabric
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.1-1.0.1 (NeoForge),HearthGuard 1.21.1-1.0.1 (NeoForge),HearthGuard 1.21.1-1.0.1 (NeoForge),1.0.1,neoforge,1.21.1,35,34,1,neoforge
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.11-1.0.0 (Fabric),HearthGuard 1.21.11-1.0.0 (Fabric),HearthGuard 1.21.11-1.0.0 (Fabric),1.0.0,fabric,1.21.11,152,152,0,fabric
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.11-1.0.0 (NeoForge),HearthGuard 1.21.11-1.0.0 (NeoForge),HearthGuard 1.21.11-1.0.0 (NeoForge),1.0.0,neoforge,1.21.11,55,55,0,neoforge
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.11-1.0.1 (Fabric),HearthGuard 1.21.11-1.0.1 (Fabric),HearthGuard 1.21.11-1.0.1 (Fabric),1.0.1,fabric,1.21.11,83,70,13,fabric
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.11-1.0.1 (NeoForge),HearthGuard 1.21.11-1.0.1 (NeoForge),HearthGuard 1.21.11-1.0.1 (NeoForge),1.0.1,neoforge,1.21.11,13,12,1,neoforge
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 26.1-1.0.1 (Fabric),HearthGuard 26.1-1.0.1 (Fabric),HearthGuard 26.1-1.0.1 (Fabric),1.0.1,fabric,26.1,53,38,15,fabric
2026-03-30,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 26.1-1.0.1 (NeoForge),HearthGuard 26.1-1.0.1 (NeoForge),HearthGuard 26.1-1.0.1 (NeoForge),1.0.1,neoforge,26.1,18,14,4,neoforge
2026-03-30,modrinth,hearthguard,hearthguard,3Qr0FvWY,hearthguard-1.21.11-1.0.0.jar,1.21.11-1.0.0,1.0.0,fabric,1.21.11,5,5,0,fabric
2026-03-30,modrinth,hearthguard,hearthguard,uV8Oy26t,hearthguard-fabric-1.21.1-1.0.0.jar,1.21.1-1.0.0,1.0.0,fabric,1.21.1,5,5,0,fabric
2026-03-30,modrinth,hearthguard,hearthguard,nRpsspT3,hearthguard-fabric-1.21.1-1.0.1.jar,1.21.1-1.0.1,1.0.1,fabric,1.21.1,7,6,1,fabric
2026-03-30,modrinth,hearthguard,hearthguard,Ip4lznyC,hearthguard-fabric-1.21.11-1.0.1.jar,1.21.11-1.0.1,1.0.1,fabric,1.21.11,21,21,0,fabric
2026-03-30,modrinth,hearthguard,hearthguard,30ZlRdYy,hearthguard-fabric-26.1-1.0.1.jar,26.1-1.0.1,1.0.1,fabric,26.1,28,23,5,fabric
2026-03-30,modrinth,hearthguard,hearthguard,fbe73rXR,hearthguard-neoforge-1.21.1-1.0.1.jar,1.21.1-1.0.1,1.0.1,neoforge,1.21.1,10,8,2,neoforge
2026-03-30,modrinth,hearthguard,hearthguard,dFWb9IFH,hearthguard-neoforge-1.21.11-1.0.0.jar,1.21.11-1.0.0,1.0.0,neoforge,1.21.11,5,5,0,neoforge
2026-03-30,modrinth,hearthguard,hearthguard,OQyeKKQM,hearthguard-neoforge-1.21.11-1.0.1.jar,1.21.11-1.0.1,1.0.1,neoforge,1.21.11,3,2,1,neoforge
2026-03-30,modrinth,hearthguard,hearthguard,ijlz9BpN,hearthguard-neoforge-26.1-1.0.1.jar,26.1-1.0.1,1.0.1,neoforge,26.1,9,9,0,neoforge
2026-03-31,curseforge,hearthguard,hearthguard,hearthguard:HearthGuard 1.21.1-1.0.0 (Fabric),HearthGuard 1.21.1-1.0.0 (Fabric),HearthGuard 1.21.1-1.0.0 (Fabric),1.0.0,fabric,1.21.1,50,50,0,fabric
